Country,Population,Percentage of World Population,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP
 China,1394350000,18.2,95969612,2.8,14092000000000,10087
 India,1337630000,17.5,32872632,9.6,2848000000000,2134
 United States,327918000,4.28,9833523,6.97,19390000000000,59501
 Brazil,209650000,2.74,85157672,0.65,2138999999999,10224
 Pakistan,202169000,2.64,8819132,2.86,304400000000,1629
 Nigeria,193392517,2.53,9237682,1.4,376280000000,1994
 Bangladesh,165278000,2.16,1475702,6.4,285817000000,1754
 Russia,146877088,1.92,170982462,13,1719000000000,11946
 Japan,126420000,1.65,377973,0.8,5167000000000,40849
 Mexico,124737789,1.63,19725502,2.5,1250000000000,10021
 Ethiopia,107534882,1.4,11043002,0.7,85664000000,910
 Philippines,106540000,1.39,3000002,0.61,371800000000,3541
 Egypt,97639400,1.28,10104082,0.632,237073000000,2501
 Vietnam,94660000,1.24,3316982,6.4,240779000000,2546
 DR Congo,84004989,1.1,23454092,3.32,40415000000,446
 Iran,81830600,1.07,16481952,7.07,438300000000,5383
 Turkey,80810525,1.06,7833562,1.3,909000000000,11114
 Thailand,69183173,0.9,5131202,0.4,514700000000,7588
 United Kingdom,66040229,0.86,2424952,1.34,2624000000000,39734
 Italy,60421460,0.79,3013402,2.4,2181000000000,35913
 South Africa,57725600,0.75,12210372,0.380,371000000000,6459
 Tanzania,54199163,0.71,9473032,6.4,55666000000,1100
 Myanmar,53862731,0.7,6765782,3.06,69322000000000,1299
 South Korea,51635256,0.67,1003632,0.3,1693000000000,32775
 Kenya,50950879,0.67,5803672,2.3,85980000000,1790
 Colombia,49970000,0.653,11417482,8.8,327978000000,6581
 Spain,46659302,0.61,5059902,1.04,1506000000000,32559
 Argentina,44494502,0.58,27804002,1.57,625921000000,14043
 Algeria,42545964,0.56,23817412,0.0,197629000000,7669
 Ukraine,42248129,0.55,6036282,7,112154000000,2640
 Iraq,39339753,0.51,4370722,1.1,202922000000,5091
 Uganda,38823100,0.51,2410382,15.39,26391000000,700
 Poland,38433600,0.5,3126962,3.07,614190000000,16179
 Canada,37239900,0.487,99846702,8.92,1798000000000,48466
 Morocco,34800600,0.455,7108502,0.056,120997000000,3435
 Saudi Arabia,33413660,0.44,21496902,0.7,748003000000,22649
 Uzbekistan,32653900,0.43,4489782,4.9,40259000000,1238
 Malaysia,32478000,0.424,3308032,0.3,364919000000,11237
 Venezuela,31828110,0.42,9164452,3.2,100845000000,3168
 Afghanistan,31575018,0.41,6528642,0.0,21000000000,572
 Ghana,29614337,0.39,2395672,4.61,49226000000,1697
 Angola,29250009,0.38,12467002,0.0,112533000000,4101
 Nepal,29218867,0.38,1471812,2.8,24067000000,837
 Yemen,28915284,0.38,5279682,0.0,85840000000,3066
 Mozambique,28861863,0.38,8015902,2.2,12345000000,417
 North Korea,25610672,0.33,1205402,4.87,25000000000,1000
 Australia,25077200,0.328,76920242,0.76,1500000000000,59655
 Ivory Coast,24571044,0.32,3224632,1.4,48142000000,1879
 Cameroon,23794164,0.31,4754422,0.57,29547000000,1217
 Niger,21466863,0.28,12670002,0.02,8253000000,440
 Sri Lanka,21444000,0.28,656102,4.4,93450000000,4310
 Burkina Faso,20244080,0.26,2742002,0.146,14192000000,729
 Romania,19524000,0.26,2383972,3,245590000000,12575
 Kazakhstan,18292700,0.24,27249002,1.7,179000000000,9709
 Syria,18284407,0.24,1851802,1.1,59957000000,2802
 Malawi,17931637,0.23,1184842,20.6,6364000000,331
 Chile,17574003,0.23,756096,1.07,280000000000,15087
 Guatemala,17302084,0.23,1088892,0.4,82356000000,4770
 Netherlands,17258700,0.225,415432,18.41,945327000000,55185
 Ecuador,17084800,0.223,2835612,5,109759000000,6640
 Zambia,16887720,0.22,7526182,1,23137000000,1342
 Cambodia,16069921,0.21,1810352,2.5,24360000000,1559
 Senegal,15726037,0.21,1967122,2.1,16172000000,1019
 Chad,15353184,0.2,12840002,1.9,11579000000,950
 Zimbabwe,14848905,0.19,3907572,1,17105000000,1149
 Rwanda,12001136,0.16,263382,5.3,8918000000,754
 Guinea,11883516,0.16,2458362,0.0,9183000000,707
 Tunisia,11446300,0.15,1636102,5.0,40455000000,3531
 Belgium,11420163,0.15,305282,6.4,562229000000,49272
 Benin,11362269,0.15,1147632,0.4,9605000000,842
 Bolivia,11307314,0.15,10985812,1.29,40737000000,3647
 Cuba,11221060,0.15,1098842,0.94,89689000000,7815
 Haiti,11112945,0.15,277502,0.7,7897000000,719
 Greece,10768193,0.14,1319572,0.8669,226770000000,21140
 Burundi,10681186,0.14,278342,10,3393000000,343
 Czech Republic,10625449,0.14,788662,2,237997000000,22468
 Portugal,10291027,0.13,922122,0.5,248891000000,24237
 Jordan,10250600,0.134,893422,0.6,41692000000,5292
 Sweden,10182291,0.13,4502952,8.7,601000000000,58345
 Azerbaijan,9943226,0.13,866002,1.6,39207000000,4097
 Hungary,9771000,0.13,930302,0.74,144307000000,14742
 Belarus,9478200,0.12,2075952,1.4,59000000000,6301
 Tajikistan,8931000,0.12,1431002,1.8,7242000000,819
 Israel,8920780,0.117,20770220722,2.1,373751000000,42115
 Austria,8838171,0.12,838792,1.7,477672000000,53764
